,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21550,Theft,-Ju,N,B,3114622.0,10091643.0,2016.0
21551,Theft,-Ju,N,D,3112004.0,10059475.0,2016.0
21553,Theft,-Ju,N,B,3110862.0,10103530.0,2016.0
21554,Theft,-Ju,N,E,3129040.0,10107518.0,2016.0
21555,Theft,-Ju,N,G,3114534.0,10070995.0,2016.0
21556,Theft,-Ju,N,H,3153256.0,10035733.0,2016.0
21557,Theft,-Ju,N,E,3135284.0,10110825.0,2016.0
21558,Theft,-Ju,N,E,3138829.0,10118547.0,2016.0
21559,Theft,-Ju,N,D,3108412.0,10047115.0,2016.0
21560,Theft,-Ju,N,I,3121611.0,10104737.0,2016.0
21561,Theft,-Ju,N,C,3121072.0,10068760.0,2016.0
21563,Theft,-Ju,N,D,3108412.0,10047115.0,2016.0
21564,Theft,-Ju,N,F,3100480.0,10042978.0,2016.0
21565,Burglary,-Ju,N,E,3135172.0,10104463.0,2016.0
21566,Theft,-Ju,N,H,3123924.0,10059981.0,2016.0
21567,Theft,-Ju,N,D,3072006.0,10057574.0,2016.0
21568,Theft,-Ju,C,G,3115701.0,10070731.0,2016.0
21569,Burglary,-Ju,N,E,3129454.0,10109157.0,2016.0
21571,Burglary,-Ju,N,I,3134407.0,10085593.0,2016.0
21572,Theft,-Ju,C,B,3114630.0,10085825.0,2016.0
21573,Burglary,-Ju,C,D,3108283.0,10054988.0,2016.0
21574,Burglary,-Ju,N,D,3097303.0,10052320.0,2016.0
21575,Agg Assault,-Ju,C,A,3104946.0,10140034.0,2016.0
21576,Theft,-Ju,N,C,3121463.0,10076251.0,2016.0
21577,Burglary,-Ju,N,H,3124605.0,10057499.0,2016.0
21578,Theft,-Ju,N,B,3118570.0,10086585.0,2016.0
21579,Burglary,-Ju,N,D,3089958.0,10049329.0,2016.0
21580,Theft,-Ju,N,H,3118093.0,10060162.0,2016.0
21581,Theft,-Ju,N,E,3128950.0,10108110.0,2016.0
21582,Auto Theft,-Ju,N,E,3142326.0,10112910.0,2016.0
21583,Theft,-Ju,N,A,3119159.0,10119858.0,2016.0
21584,Theft,-Ju,C,I,3124902.0,10087761.0,2016.0
21585,Burglary,-Ju,N,H,3118146.0,10058687.0,2016.0
21586,Theft,-Ju,N,I,3134745.0,10086202.0,2016.0
21587,Theft,-Ju,N,E,3135406.0,10125987.0,2016.0
21588,Theft,-Ju,C,D,3108264.0,10056522.0,2016.0
