,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21977,Theft,-Ju,N,G,3114818.0,10070707.0,2015.0
21978,Theft,-Ju,N,G,3115062.0,10070631.0,2015.0
21979,Theft,-Ju,C,G,3115292.0,10070580.0,2015.0
21980,Theft,-Ju,N,C,3138965.0,10088018.0,2015.0
21981,Theft,-Ju,N,B,3098811.0,10096813.0,2015.0
21982,Theft,-Ju,N,H,3114951.0,10054578.0,2015.0
21983,Theft,-Ju,N,B,3115038.0,10074944.0,2015.0
21984,Theft,-Ju,N,D,3105989.0,10069770.0,2015.0
21985,Theft,-Ju,N,B,3116479.0,10079618.0,2015.0
21986,Theft,-Ju,C,H,3120959.0,10059177.0,2015.0
21987,Theft,-Ju,C,D,3094135.0,10066586.0,2015.0
21989,Theft,-Ju,N,E,3125086.0,10117693.0,2015.0
21990,Theft,-Ju,N,H,3114830.0,10054201.0,2015.0
21991,Theft,-Ju,N,G,3116097.0,10070500.0,2015.0
21992,Theft,-Ju,N,D,3099932.0,10056735.0,2015.0
21993,Theft,-Ju,N,G,3115952.0,10070759.0,2015.0
21994,Theft,-Ju,N,G,3115374.0,10071586.0,2015.0
21995,Theft,-Ju,N,A,3087786.0,10137970.0,2015.0
21996,Theft,-Ju,N,I,3136502.0,10088207.0,2015.0
21997,Theft,-Ju,N,G,3115672.0,10067745.0,2015.0
21998,Theft,-Ju,N,A,3098772.0,10135642.0,2015.0
21999,Theft,-Ju,N,D,3105989.0,10069770.0,2015.0
22000,Robbery,-Ju,N,C,3130189.0,10076928.0,2015.0
22001,Robbery,-Ju,C,H,3111470.0,10059899.0,2015.0
22002,Burglary,-Ju,N,C,3155493.0,10103601.0,2015.0
22003,Burglary,-Ju,N,F,3111300.0,10041929.0,2015.0
22004,Burglary,-Ju,N,E,3125710.0,10102520.0,2015.0
22005,Burglary,-Ju,N,I,3134623.0,10092808.0,2015.0
22006,Burglary,-Ju,N,C,3146987.0,10080516.0,2015.0
22007,Burglary,-Ju,N,E,3128349.0,10107000.0,2015.0
22008,Burglary,-Ju,N,D,3098599.0,10050936.0,2015.0
22009,Burglary,-Ju,N,A,3120716.0,10122330.0,2015.0
22010,Burglary,-Ju,N,E,3129016.0,10121907.0,2015.0
22011,Burglary,-Ju,N,D,3106816.0,10059341.0,2015.0
22012,Burglary,-Ju,C,G,3115466.0,10066891.0,2015.0
22013,Burglary,-Ju,N,D,3082155.0,10062686.0,2015.0
22014,Burglary,-Ju,N,H,3116171.0,10063314.0,2015.0
22015,Burglary,-Ju,N,E,3130920.0,10104963.0,2015.0
22016,Burglary,-Ju,N,H,3122189.0,10058144.0,2015.0
22017,Burglary,-Ju,N,E,3124981.0,10102414.0,2015.0
22018,Burglary,-Ju,N,E,3124796.0,10102566.0,2015.0
22019,Burglary,-Ju,N,A,3109069.0,10133048.0,2015.0
22020,Burglary,-Ju,N,B,3110548.0,10072198.0,2015.0
22021,Auto Theft,-Ju,N,B,3116236.0,10100941.0,2015.0
22022,Auto Theft,-Ju,N,E,3131509.0,10101848.0,2015.0
22023,Auto Theft,-Ju,C,E,3129861.0,10101496.0,2015.0
22024,Auto Theft,-Ju,N,B,3112027.0,10078868.0,2015.0
22025,Auto Theft,-Ju,N,I,3116997.0,10091934.0,2015.0
22029,Agg Assault,-Ju,C,C,3125481.0,10068437.0,2015.0
22030,Agg Assault,-Ju,C,F,3105425.0,10040478.0,2015.0
22031,Agg Assault,-Ju,C,I,3128893.0,10090071.0,2015.0
